Hg,Hi,Hm,Hp,He,Ib-FDTD,Ir-FDTD,It-FDTD,Ib-CPN,Ir-CPN,It-CPN
40,20,250,15,15,17.1041,5.932,19.6093,17.3131,5.707,19.6144
80,20,250,20,15,17.754,5.1488,19.1854,17.8538,5.2363,19.2788
20,30,250,15,15,16.8923,6.4638,19.2627,17.1204,6.3228,19.3375
80,50,160,35,30,18.1801,7.2824,14.4613,18.2006,7.2572,14.7719
60,50,160,35,20,18.7025,7.4867,14.9338,18.5372,7.4299,14.6815
70,20,180,35,30,18.423,6.0424,15.5168,18.4923,6.1636,15.8592
40,20,160,35,25,18.4162,7.3033,14.6726,18.3828,7.1703,14.9553
10,20,210,35,30,16.9996,7.4123,17.0218,16.9528,7.1336,16.7309
30,30,250,15,20,16.8763,6.1975,18.9988,17.0438,6.0313,19.2454
30,50,250,25,25,16.9497,6.609,19.6321,16.9301,6.6444,19.3866
100,40,250,25,35,16.56,6.3536,18.0194,16.5993,6.2621,18.2492
60,30,170,30,15,19.0477,6.3693,15.2704,18.909,6.2795,15.491
80,50,250,30,20,17.6296,5.8549,17.0011,17.6595,5.6573,17.1664
60,30,250,30,20,17.4279,5.5862,17.525,17.4842,5.4702,17.766
80,60,250,30,30,16.9292,6.4225,18.4726,16.9037,6.5356,18.1315
60,20,170,30,15,19.0655,6.2973,15.3261,18.9798,6.2156,15.5939
60,30,250,25,20,17.4181,5.575,18.1463,17.4507,5.3668,18.363
80,40,250,35,20,17.6022,5.7625,16.6891,17.6804,5.7308,16.8464
20,30,250,35,30,16.2515,6.7444,18.5229,16.2713,6.7682,18.2518
20,40,250,20,20,16.8971,6.3886,18.2646,16.9379,6.2546,18.5167
100,40,160,25,25,18.7526,6.9424,15.79,18.5964,6.7998,15.7977
30,40,250,30,15,17.3552,6.1587,17.5755,17.4293,6.0163,17.6982
40,50,250,20,30,16.7245,6.346,19.9587,16.617,6.5198,19.6627
80,20,160,30,25,19.0209,6.6906,15.48,18.831,6.4357,15.4298
20,40,250,20,15,17.1038,6.1261,18.751,17.2006,6.1578,18.9064
70,40,160,30,30,18.4456,7.0537,14.9853,18.2992,6.9563,15.3245
40,30,250,30,20,17.1595,5.9028,17.4677,17.2547,5.7661,17.643
20,30,160,15,25,17.725,8.673,16.2819,17.7461,8.5058,16.611
40,50,160,25,20,18.5776,7.8626,15.6376,18.637,7.6507,15.4872
20,60,250,30,20,17.241,6.8811,16.5793,17.2899,6.7557,16.9086
20,50,230,25,30,16.937,7.0033,18.5185,16.7171,7.0143,18.2225
40,60,250,35,15,17.7018,6.4573,16.4145,17.6234,6.4177,16.7227
50,50,250,35,35,16.4515,6.818,16.705,16.5229,6.7526,17.0249
30,30,250,35,20,17.0479,6.113,16.8797,17.1818,6.0396,17.0232
70,40,160,35,20,18.9202,7.0009,15.1656,18.8117,7.0124,14.818
30,50,160,30,35,17.641,8.4778,15.303,17.6395,8.1925,14.9759
10,50,250,30,25,16.6922,6.9829,18.9338,16.787,6.937,18.7777
10,60,220,30,35,16.7581,7.7081,17.167,16.7182,7.456,16.8531
70,40,160,15,25,18.8842,6.7414,16.8951,18.7398,6.8367,17.173
20,40,160,35,25,18.0603,8.1486,14.2643,17.9114,8.133,14.59
80,60,250,25,15,17.8605,5.6985,17.7809,17.911,5.5589,17.9775
80,40,250,30,20,17.627,5.6618,17.2353,17.6811,5.5069,17.4053
30,40,250,20,15,17.2635,5.9285,18.7901,17.3167,5.8604,18.9837
40,30,250,30,30,16.5013,6.2549,19.2163,16.5241,6.3172,18.9033
60,60,250,15,30,17.1053,6.5015,20.2565,16.8879,6.2373,19.9568
70,30,190,20,15,18.9824,5.4044,17.2604,19.0864,5.568,17.5766
40,20,250,20,35,15.9437,6.4826,19.114,16.2583,6.3459,19.4238
30,30,250,25,35,15.9633,6.6183,18.3738,16.1808,6.5721,18.7026
60,20,160,35,25,18.7879,6.752,14.8935,18.7437,6.5663,15.0972
80,60,250,30,15,17.8297,5.9481,17.1749,17.8794,5.7416,17.3586
70,50,250,20,35,16.6218,6.0204,18.6966,16.6417,6.0591,19.0316
60,20,250,30,35,16.2215,6.2087,18.1232,16.477,6.1912,18.394
60,30,250,35,15,17.664,5.4513,17.3299,17.7566,5.5558,17.5345
20,60,160,30,15,18.3354,8.53,15.165,18.2245,8.3232,14.8303
60,60,250,35,15,17.8144,6.0823,16.5485,17.829,6.0027,16.7192
30,50,250,35,20,17.3019,6.6023,16.3173,17.2984,6.4664,16.5115
80,30,160,15,25,19.0362,6.5853,16.9707,18.8901,6.6338,17.2435
50,20,250,30,20,17.1644,5.686,17.6831,17.3665,5.6296,17.7458
10,60,250,25,30,16.442,7.1836,18.8764,16.4771,7.1776,18.8752
40,20,250,35,15,17.2641,5.6909,17.4672,17.4567,5.8537,17.5248
40,40,250,35,30,16.6411,6.7225,18.2341,16.587,6.5363,18.041
40,40,160,20,25,18.4131,7.5744,16.0306,18.2658,7.5235,16.3772
60,40,250,25,15,17.7406,5.4032,18.3067,17.6939,5.3537,18.4601
70,30,250,20,35,16.4648,5.7801,19.1908,16.532,5.8781,19.4517
20,40,250,20,30,16.2913,6.6519,20.1313,16.3183,6.766,19.8303
90,30,250,30,35,16.527,6.3745,17.7005,16.608,6.2913,17.9776
50,60,250,25,20,17.568,6.3135,17.2698,17.5514,6.1159,17.4478
90,30,170,30,15,19.2258,6.183,15.3311,18.9992,6.1536,15.6459
10,50,160,25,20,18.0112,8.672,15.389,18.1453,8.5169,15.1591
10,30,230,35,30,16.6756,6.9933,17.7932,16.5121,6.9677,17.5765
50,60,250,30,25,17.2491,6.6807,18.6602,17.2524,6.6388,18.3963
30,30,160,35,35,17.7122,7.9303,15.1381,17.6827,7.7487,14.7954
50,30,170,15,15,18.8116,6.6713,16.7048,18.6774,6.7636,17.0177
50,60,170,30,15,18.6218,7.3742,14.7541,18.5024,7.2534,15.0377
10,20,250,25,30,15.8953,7.5106,19.2845,16.0164,7.2236,19.3136
